solver,puzzle_id,status,solve_time,propagations
DPLL,sudoku_25x25_Medium_20241212_224958_puzzle,sat,0.3426017761230469,190457
DPLL,sudoku_25x25_Evil_20241212_230335_puzzle,sat,0.2194058895111084,190622
DPLL,sudoku_25x25_Difficult_20241212_225654_puzzle,unsat,0.2286839485168457,190530
DPLL,sudoku_25x25_Evil_20241212_225833_puzzle,unsat,0.2298288345336914,190599
DPLL,sudoku_25x25_Difficult_20241212_225117_puzzle,unsat,0.2311563491821289,190591
DPLL,sudoku_25x25_Medium_20241212_224419_puzzle,unsat,0.2569766044616699,190477
DPLL,sudoku_25x25_Evil_20241212_225925_puzzle,unsat,0.2285900115966797,190608
DPLL,sudoku_25x25_Evil_20241212_230415_puzzle,unsat,0.23691010475158691,190426
DPLL,sudoku_25x25_Difficult_20241212_225039_puzzle,unsat,13.515182256698608,190389
DPLL,sudoku_25x25_Extremely Easy_20241212_223344_puzzle,unsat,0.21009564399719238,190579
DPLL,sudoku_25x25_Medium_20241212_224741_puzzle,sat,0.22987103462219238,190541
DPLL,sudoku_25x25_Extremely Easy_20241212_223350_puzzle,sat,0.3805663585662842,190460
DPLL,sudoku_25x25_Medium_20241212_224151_puzzle,sat,0.5911052227020264,190441
DPLL,sudoku_25x25_Extremely Easy_20241212_223443_puzzle,sat,0.2911827564239502,190477
DPLL,sudoku_25x25_Extremely Easy_20241212_223241_puzzle,sat,0.222428560256958,190524
DPLL,sudoku_25x25_Medium_20241212_224222_puzzle,unsat,0.21885442733764648,190521
DPLL,sudoku_25x25_Extremely Easy_20241212_223225_puzzle,sat,0.24024057388305664,190562
DPLL,sudoku_25x25_Medium_20241212_224344_puzzle,unsat,0.22776055335998535,190530
DPLL,sudoku_25x25_Medium_20241212_224727_puzzle,unsat,0.22613835334777832,190543
DPLL,sudoku_25x25_Evil_20241212_225931_puzzle,unsat,0.23021340370178223,190525
DPLL,sudoku_25x25_Easy_20241212_224036_puzzle,unsat,0.2104945182800293,190434
DPLL,sudoku_25x25_Easy_20241212_223714_puzzle,timeout,30,0
DPLL,sudoku_25x25_Medium_20241212_224143_puzzle,sat,0.2193613052368164,190517
DPLL,sudoku_25x25_Evil_20241212_230458_puzzle,sat,0.5529203414916992,190461
DPLL,sudoku_25x25_Easy_20241212_223612_puzzle,unsat,0.23653721809387207,190607
DPLL,sudoku_25x25_Evil_20241212_225919_puzzle,unsat,0.21338653564453125,190556
DPLL,sudoku_25x25_Evil_20241212_225944_puzzle,unsat,0.22934412956237793,190512
DPLL,sudoku_25x25_Extremely Easy_20241212_223357_puzzle,sat,1.1775109767913818,190439
DPLL,sudoku_25x25_Extremely Easy_20241212_223249_puzzle,sat,0.21471285820007324,190598
DPLL,sudoku_25x25_Evil_20241212_230007_puzzle,sat,0.22425293922424316,190562
DPLL,sudoku_25x25_Easy_20241212_224012_puzzle,unsat,0.21665120124816895,190589
DPLL,sudoku_25x25_Medium_20241212_224202_puzzle,sat,0.2759268283843994,190465
DPLL,sudoku_25x25_Difficult_20241212_225626_puzzle,unsat,0.21422505378723145,190570
DPLL,sudoku_25x25_Difficult_20241212_225733_puzzle,unsat,0.22443723678588867,190498
DPLL,sudoku_25x25_Difficult_20241212_225635_puzzle,unsat,0.21786069869995117,190597
DPLL,sudoku_25x25_Evil_20241212_230328_puzzle,unsat,0.2209925651550293,190567
DPLL,sudoku_25x25_Evil_20241212_225902_puzzle,unsat,0.22306251525878906,190568
DPLL,sudoku_25x25_Evil_20241212_225957_puzzle,unsat,0.23446130752563477,190513
DPLL,sudoku_25x25_Medium_20241212_224719_puzzle,unsat,0.2128772735595703,190612
DPLL,sudoku_25x25_Evil_20241212_225746_puzzle,timeout,30,0
DPLL,sudoku_25x25_Easy_20241212_223824_puzzle,unsat,0.2097609043121338,190606
DPLL,sudoku_25x25_Difficult_20241212_225238_puzzle,sat,0.21523022651672363,190548
DPLL,sudoku_25x25_Extremely Easy_20241212_223417_puzzle,sat,1.8586421012878418,190468
DPLL,sudoku_25x25_Medium_20241212_224730_puzzle,sat,0.21419525146484375,190536
DPLL,sudoku_25x25_Difficult_20241212_225100_puzzle,sat,0.6159062385559082,190450
DPLL,sudoku_25x25_Difficult_20241212_225703_puzzle,unsat,0.21468496322631836,190593
DPLL,sudoku_25x25_Difficult_20241212_225045_puzzle,unsat,0.4016611576080322,190473
DPLL,sudoku_25x25_Extremely Easy_20241212_223346_puzzle,sat,2.6116507053375244,190467
DPLL,sudoku_25x25_Medium_20241212_224411_puzzle,sat,0.40282344818115234,190452
DPLL,sudoku_25x25_Difficult_20241212_225159_puzzle,unsat,25.049784660339355,190410
